hotend_ist;hotend_soll;bed_ist;bed_soll
219,99 ;220,00 ;59,91 ;/60,00 
220,10 ;220,00 ;60,01 ;/60,00 
220,10 ;220,00 ;60,28 ;/60,00 
220,10 ;220,00 ;60,49 ;/60,00 
219,80 ;220,00 ;60,58 ;/60,00 
220,25 ;220,00 ;60,71 ;/60,00 
219,95 ;220,00 ;60,74 ;/60,00 
219,95 ;220,00 ;60,66 ;/60,00 
219,80 ;220,00 ;60,65 ;/60,00 
219,84 ;220,00 ;60,50 ;/60,00 
219,76 ;220,00 ;60,47 ;/60,00 
219,73 ;220,00 ;60,43 ;/60,00 
219,80 ;220,00 ;60,35 ;/60,00 
219,95 ;220,00 ;60,32 ;/60,00 
219,84 ;220,00 ;60,20 ;/60,00 
220,18 ;220,00 ;60,17 ;/60,00 
220,48 ;220,00 ;60,12 ;/60,00 
220,51 ;220,00 ;60,05 ;/60,00 
220,59 ;220,00 ;60,00 ;/60,00 
220,59 ;220,00 ;59,91 ;/60,00 
220,40 ;220,00 ;59,90 ;/60,00 
220,18 ;220,00 ;60,01 ;/60,00 
220,18 ;220,00 ;60,23 ;/60,00 
219,88 ;220,00 ;60,45 ;/60,00 
219,61 ;220,00 ;60,64 ;/60,00 
219,46 ;220,00 ;60,66 ;/60,00 
219,46 ;220,00 ;60,72 ;/60,00 
219,50 ;220,00 ;60,71 ;/60,00 
219,58 ;220,00 ;60,73 ;/60,00 
219,88 ;220,00 ;60,68 ;/60,00 
219,76 ;220,00 ;60,53 ;/60,00 
220,48 ;220,00 ;60,54 ;/60,00 
220,40 ;220,00 ;60,31 ;/60,00 
220,44 ;220,00 ;60,35 ;/60,00 
220,44 ;220,00 ;60,17 ;/60,00 
220,66 ;220,00 ;60,16 ;/60,00 
220,14 ;220,00 ;60,16 ;/60,00 
219,95 ;220,00 ;60,00 ;/60,00 
219,54 ;220,00 ;59,92 ;/60,00 
219,16 ;220,00 ;59,87 ;/60,00 
218,94 ;220,00 ;59,80 ;/60,00 
218,83 ;220,00 ;59,67 ;/60,00 
218,83 ;220,00 ;59,97 ;/60,00 
218,98 ;220,00 ;60,17 ;/60,00 
219,46 ;220,00 ;60,31 ;/60,00 
219,76 ;220,00 ;60,43 ;/60,00 
220,14 ;220,00 ;60,27 ;/60,00 
220,66 ;220,00 ;60,36 ;/60,00 
220,74 ;220,00 ;60,25 ;/60,00 
221,15 ;0,00 ;60,15 ;/0,00 
221,00 ;0,00 ;60,06 ;/0,00 
220,44 ;220,00 ;60,01 ;/0,00 
219,43 ;220,00 ;59,77 ;/60,00 
218,04 ;220,00 ;59,77 ;/60,00 
216,46 ;220,00 ;59,82 ;/60,00 
214,93 ;220,00 ;59,96 ;/60,00 
213,76 ;220,00 ;60,23 ;/60,00 
213,27 ;220,00 ;60,54 ;/60,00 
213,35 ;220,00 ;60,91 ;/60,00 
214,40 ;220,00 ;61,05 ;/60,00 
215,30 ;220,00 ;61,20 ;/60,00 
216,58 ;220,00 ;61,15 ;/60,00 
218,04 ;220,00 ;61,10 ;/60,00 
219,20 ;220,00 ;61,01 ;/60,00 
220,06 ;220,00 ;60,94 ;/60,00 
220,66 ;220,00 ;60,78 ;/60,00 
221,05 ;220,00 ;60,69 ;/60,00 
220,55 ;220,00 ;60,49 ;/60,00 
220,06 ;220,00 ;60,44 ;/60,00 
219,46 ;220,00 ;60,22 ;/60,00 
218,90 ;220,00 ;60,17 ;/60,00 
218,41 ;220,00 ;60,05 ;/60,00 
218,11 ;220,00 ;59,95 ;/60,00 
218,15 ;220,00 ;59,82 ;/60,00 
218,15 ;220,00 ;59,80 ;/60,00 
218,15 ;220,00 ;59,80 ;/60,00 
218,52 ;220,00 ;59,75 ;/60,00 
218,49 ;220,00 ;59,88 ;/60,00 
218,60 ;220,00 ;59,84 ;/60,00 
218,98 ;220,00 ;60,01 ;/60,00 
218,94 ;220,00 ;60,01 ;/60,00 
219,24 ;220,00 ;60,00 ;/60,00 
219,35 ;220,00 ;60,17 ;/60,00 
219,31 ;220,00 ;60,20 ;/60,00 
219,54 ;220,00 ;60,14 ;/60,00 
219,58 ;220,00 ;60,27 ;/60,00 
219,76 ;220,00 ;60,42 ;/60,00 
